,date,code,kind_of_trade,turnover
73,1/1/2009,WZ08-47523,"Retail sale of paints	varnishes	building material",71.3
74,1/1/2009,WZ08-4799,"Other retail sale not in stores	 stalls or markets",100.7
75,1/1/2009,WZ08-47,"Retail trade	 except motor vehicles a. motorcycles",81.3
76,1/1/2009,WZ08-47761,"Retail sale of flowers	 plants	 seeds	 fertilisers",75.1
77,1/1/2009,WZ08-4778,Other retail sale of new goods,88.2
78,1/1/2009,WZ08-47789,Other retail sale of new goods,124.2
79,1/1/2009,WZ08-4721,Retail sale of fruit and vegetables,74.6
80,1/1/2009,WZ08-47999,Other retail sale not in stores n.e.c.,74.9
81,1/1/2009,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",81.3
82,1/1/2009,WZ08-47991,Retail sale of fuels from stock,111.6
83,1/1/2009,WZ08-4752,"Retail sale of hardware	 paints and glass",72.2
84,1/1/2009,WZ08-47521,Retail sale of hardware and plastic products,76.7
85,1/1/2009,WZ08-4764,Retail sale of sporting equipment,69.1
86,1/1/2009,WZ08-47592,Retail sale of china and glassware,84
87,1/1/2009,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,113.7
88,1/1/2009,WZ08-47301,Retail sale on behalf of others of automotive fuel,82.8
89,1/1/2009,WZ08-47799,Retail sale of other second-hand goods in stores,150.2
90,1/1/2009,WZ08-4773,Dispensing chemist,80
91,1/1/2009,WZ08-47593,Retail sale of musical instruments and scores,86.6
92,1/1/2009,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",85.6
93,1/1/2009,WZ08-47641,"Retail sale of bicycles	 their parts and access.",50.9
94,1/1/2009,WZ08-47919,Other retail sale v. mail order houses or Internet,62.8
95,2/1/2009,WZ08-471-01,Retail trade in-store,77.3
96,2/1/2009,WZ08-47599,Retail sale of household articles n.e.c.,67.3
97,2/1/2009,WZ08-4753,"Retail sale of carpets	 rugs	 wall a. floor cover.",86.9
98,2/1/2009,WZ08-4773-01,"Dispensing chemist	retail sale of medic. goods etc",74.5
99,2/1/2009,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",67
100,2/1/2009,WZ08-4773,Dispensing chemist,75.1
101,2/1/2009,WZ08-47591,Retail sale of furniture,82.6
102,2/1/2009,WZ08-47722,Retail sale of leather goods and luggage,52.1
103,2/1/2009,WZ08-4772,Retail sale of footwear and leather goods,58.1
104,2/1/2009,WZ08-473,Retail sale of automotive fuel,77.6
105,2/1/2009,WZ08-4730,Retail sale of automotive fuel,77.6
