,date,code,kind_of_trade,turnover
3601,2/1/2012,WZ08-4741,"Retail sale of computers	peripheral units	software",89.2
3602,2/1/2012,WZ08-4773,Dispensing chemist,83.2
3603,2/1/2012,WZ08-47781,Activities of opticians,80.7
3604,2/1/2012,WZ08-47762,"Retail sale of live animals	 animal food etc.",81
3605,2/1/2012,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",89.5
3606,2/1/2012,WZ08-476,Retail sale of cultural and recreation goods,81.2
3607,2/1/2012,WZ08-4799,"Other retail sale not in stores	 stalls or markets",136.7
3608,2/1/2012,WZ08-4743,Retail sale of audio and video equipment,96
3609,2/1/2012,WZ08-47593,Retail sale of musical instruments and scores,77.8
3610,3/1/2012,WZ08-47,"Retail trade	 except motor vehicles a. motorcycles",97.8
3611,3/1/2012,WZ08-4711,Retail sale in non-spec. stores with food etc.,95.4
3612,3/1/2012,WZ08-4775,Retail sale of cosmetic and toilet articles,98.8
3613,3/1/2012,WZ08-4711-02,Retail sale of food,95.7
3614,3/1/2012,WZ08-477,Retail sale of other goods,100.7
3615,3/1/2012,WZ08-4751,Retail sale of textiles,104.8
3616,3/1/2012,WZ08-4719,Other retail sale in non-specialised stores,101.2
3617,3/1/2012,WZ08-47722,Retail sale of leather goods and luggage,88.8
3618,3/1/2012,WZ08-4743,Retail sale of audio and video equipment,105
3619,3/1/2012,WZ08-4791,Retail sale via mail order houses or via Internet,68.5
3620,3/1/2012,WZ08-4773-01,"Dispensing chemist	retail sale of medic. goods etc",91.7
3621,3/1/2012,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",95.8
3622,3/1/2012,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",100.5
3623,3/1/2012,WZ08-4742,Retail sale of telecommunications equipment,93.2
3624,3/1/2012,WZ08-4777,Retail sale of watches and jewellery,107.4
3625,3/1/2012,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",98.6
3626,3/1/2012,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",105.6
3627,3/1/2012,WZ08-47991,Retail sale of fuels from stock,114.2
3628,3/1/2012,WZ08-4765,Retail sale of games and toys,92.8
3629,3/1/2012,WZ08-473,Retail sale of automotive fuel,110.5
3630,3/1/2012,WZ08-4726,Retail sale of tobacco products,96.4
3631,3/1/2012,WZ08-47622,"Retail sale of stationery	school a.office supplies",105.5
3632,3/1/2012,WZ08-4730,Retail sale of automotive fuel,110.5
3633,3/1/2012,WZ08-478,Retail sale via stalls and markets,100
3634,3/1/2012,WZ08-4743-01,"Retail sale of furnishings	 household equip. etc.",111.4
3635,3/1/2012,WZ08-47301,Retail sale on behalf of others of automotive fuel,105.2
3636,3/1/2012,WZ08-4774,Retail sale of medical and orthopaedic goods,86.8
3637,3/1/2012,WZ08-471-01,Retail trade in-store,100.1
3638,3/1/2012,WZ08-4761,Retail sale of books,92.3
3639,3/1/2012,WZ08-4729,Other retail sale of food,97.5
3640,3/1/2012,WZ08-476,Retail sale of cultural and recreation goods,101
3641,3/1/2012,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",80.2
3642,3/1/2012,WZ08-4752-01,"Retail sale of furniture	furnishings	hh.equip.etc.",113
3643,3/1/2012,WZ08-47781,Activities of opticians,94.6
3644,3/1/2012,WZ08-471,Retail sale in non-specialised stores,95.8
3645,3/1/2012,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",105.3
3646,3/1/2012,WZ08-47302,Retail sale of private-brand automotive fuel,116.4
3647,3/1/2012,WZ08-47111,"Retail sale of food	bev.	tob. in non-spec. stores",93.1
3648,3/1/2012,WZ08-47762,"Retail sale of live animals	 animal food etc.",95.1
3649,3/1/2012,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),88.9
3650,3/1/2012,WZ08-47919,Other retail sale v. mail order houses or Internet,64.8
3651,3/1/2012,WZ08-4725,Retail sale of beverages,94.4
3652,3/1/2012,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,102.1
3653,3/1/2012,WZ08-4762,Retail sale of newspapers and stationery,102.7
3654,3/1/2012,WZ08-4789,Retail sale via stalls and markets of other goods,90.3
3655,3/1/2012,WZ08-4754,Retail sale of electrical household appliances,100.5
3656,3/1/2012,WZ08-479,"Retail trade not in stores	 stalls or markets",75.9
3657,3/1/2012,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",133.4
3658,3/1/2012,WZ08-4741-01,Retail sale of books and stationery,107.7
3659,3/1/2012,WZ08-4759,"Retail sale of furniture	 lighting equipment etc.",105.2
3660,3/1/2012,WZ08-474,Retail sale of information a. communication equip.,102.3
3661,3/1/2012,WZ08-4771,Retail sale of clothing,102.3
3662,3/1/2012,WZ08-4772,Retail sale of footwear and leather goods,116.5
3663,3/1/2012,WZ08-4779,Retail sale of second-hand goods in stores,175.5
3664,3/1/2012,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",109.9
3665,3/1/2012,WZ08-4782,"Retail sale v.stalls	markets of text.	cloth.	foot.",99.1
3666,3/1/2012,WZ08-475,Retail sale of other household equipment,112.4
3667,3/1/2012,WZ08-47791,Retail sale of antiques and antique rugs in stores,200.4
3668,3/1/2012,WZ08-4741,"Retail sale of computers	peripheral units	software",98
3669,3/1/2012,WZ08-4752,"Retail sale of hardware	 paints and glass",126.8
3670,3/1/2012,WZ08-45-01,Motor trade and retail trade,98.7
3671,3/1/2012,WZ08-47592,Retail sale of china and glassware,104.5
3672,3/1/2012,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",96.4
3673,3/1/2012,WZ08-47799,Retail sale of other second-hand goods in stores,164.1
3674,3/1/2012,WZ08-4763,Retail sale of music and video recordings,112.3
3675,3/1/2012,WZ08-47112,Other retail sale in non-spec.stores with food etc,107.2
3676,3/1/2012,WZ08-4719-01,Retail sale of non-food (incl. markets of food),98.8
3677,3/1/2012,WZ08-4723,"Retail sale of fish	 crustaceans and molluscs",115.9
3678,3/1/2012,WZ08-47591,Retail sale of furniture,105.9
3679,3/1/2012,WZ08-4776,"Retail sale of flowers	plants	seeds	fertil.	anim.",134.3
3680,3/1/2012,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",97.4
3681,3/1/2012,WZ08-4753,"Retail sale of carpets	 rugs	 wall a. floor cover.",108
3682,3/1/2012,WZ08-4721,Retail sale of fruit and vegetables,89.8
3683,3/1/2012,WZ08-4799,"Other retail sale not in stores	 stalls or markets",113.4
3684,3/1/2012,WZ08-471-04,"Retail trade	 except retail sale of fuels",97.3
3685,3/1/2012,WZ08-4764,Retail sale of sporting equipment,105.8
3686,3/1/2012,WZ08-47761,"Retail sale of flowers	 plants	 seeds	 fertilisers",155.6
3687,3/1/2012,WZ08-47191,Retail sale in non-specialised stores (ex. food),97.5
3688,3/1/2012,WZ08-471-02,Retail trade in the traditional sense,95.7
3689,3/1/2012,WZ08-47593,Retail sale of musical instruments and scores,87.7
3690,3/1/2012,WZ08-472,"Retail sale of food	 beverages and tobacco",99.5
3691,3/1/2012,WZ08-47792,Retail sale in second-hand bookstores in stores,192.4
3692,3/1/2012,WZ08-47641,"Retail sale of bicycles	 their parts and access.",129.2
3693,3/1/2012,WZ08-4773,Dispensing chemist,90.1
3694,3/1/2012,WZ08-471-03,Retail trade in its more narrow definition,97.9
3695,3/1/2012,WZ08-47999,Other retail sale not in stores n.e.c.,114.7
3696,3/1/2012,WZ08-47523,"Retail sale of paints	varnishes	building material",128.5
3697,3/1/2012,WZ08-47599,Retail sale of household articles n.e.c.,103.3
3698,3/1/2012,WZ08-4719-02,Retail sale of non-food,99.3
3699,3/1/2012,WZ08-47721,Retail sale of footwear,119.2
3700,3/1/2012,WZ08-4724,"Retail sale of bread	cakes	flour a. sugar confect.",115
3701,3/1/2012,WZ08-47789,Other retail sale of new goods,156.4
3702,3/1/2012,WZ08-47521,Retail sale of hardware and plastic products,112.6
3703,3/1/2012,WZ08-4778,Other retail sale of new goods,111.2
3704,3/1/2012,WZ08-4722,Retail sale of meat and meat products,105.2
3705,4/1/2012,WZ08-471-02,Retail trade in the traditional sense,89.2
3706,4/1/2012,WZ08-4774,Retail sale of medical and orthopaedic goods,77.9
3707,4/1/2012,WZ08-47722,Retail sale of leather goods and luggage,82
3708,4/1/2012,WZ08-4721,Retail sale of fruit and vegetables,95.5
3709,4/1/2012,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),83.6
3710,4/1/2012,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",90.8
3711,4/1/2012,WZ08-47762,"Retail sale of live animals	 animal food etc.",90.5
3712,4/1/2012,WZ08-47191,Retail sale in non-specialised stores (ex. food),95.9
3713,4/1/2012,WZ08-47111,"Retail sale of food	bev.	tob. in non-spec. stores",88.1
3714,4/1/2012,WZ08-47761,"Retail sale of flowers	 plants	 seeds	 fertilisers",153.4
3715,4/1/2012,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",99.2
3716,4/1/2012,WZ08-4782,"Retail sale v.stalls	markets of text.	cloth.	foot.",95.7
3717,4/1/2012,WZ08-47622,"Retail sale of stationery	school a.office supplies",90.3
3718,4/1/2012,WZ08-4764,Retail sale of sporting equipment,99
3719,4/1/2012,WZ08-4776,"Retail sale of flowers	plants	seeds	fertil.	anim.",131.1
3720,4/1/2012,WZ08-4772,Retail sale of footwear and leather goods,101.1
3721,4/1/2012,WZ08-4743,Retail sale of audio and video equipment,95.5
3722,4/1/2012,WZ08-476,Retail sale of cultural and recreation goods,96.4
3723,4/1/2012,WZ08-4775,Retail sale of cosmetic and toilet articles,86.3
3724,4/1/2012,WZ08-4778,Other retail sale of new goods,100.7
3725,4/1/2012,WZ08-47523,"Retail sale of paints	varnishes	building material",120.3
3726,4/1/2012,WZ08-471,Retail sale in non-specialised stores,90.8
3727,4/1/2012,WZ08-471-03,Retail trade in its more narrow definition,91.1
3728,4/1/2012,WZ08-4762,Retail sale of newspapers and stationery,92.2
3729,4/1/2012,WZ08-47301,Retail sale on behalf of others of automotive fuel,105.5
3730,4/1/2012,WZ08-4752,"Retail sale of hardware	 paints and glass",118.5
3731,4/1/2012,WZ08-4761,Retail sale of books,93
3732,4/1/2012,WZ08-471-01,Retail trade in-store,93.8
3733,4/1/2012,WZ08-47,"Retail trade	 except motor vehicles a. motorcycles",91.3
3734,4/1/2012,WZ08-47593,Retail sale of musical instruments and scores,79.7
3735,4/1/2012,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",65.2
3736,4/1/2012,WZ08-47792,Retail sale in second-hand bookstores in stores,174
3737,4/1/2012,WZ08-472,"Retail sale of food	 beverages and tobacco",95.9
3738,4/1/2012,WZ08-4752-01,"Retail sale of furniture	furnishings	hh.equip.etc.",101.8
3739,4/1/2012,WZ08-4711,Retail sale in non-spec. stores with food etc.,90.2
3740,4/1/2012,WZ08-47641,"Retail sale of bicycles	 their parts and access.",120.2
3741,4/1/2012,WZ08-47991,Retail sale of fuels from stock,113.3
3742,4/1/2012,WZ08-47781,Activities of opticians,83.7
3743,4/1/2012,WZ08-4729,Other retail sale of food,87.9
3744,4/1/2012,WZ08-4725,Retail sale of beverages,94.7
3745,4/1/2012,WZ08-47919,Other retail sale v. mail order houses or Internet,58.6
3746,4/1/2012,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",97.9
3747,4/1/2012,WZ08-47521,Retail sale of hardware and plastic products,103.1
3748,4/1/2012,WZ08-47302,Retail sale of private-brand automotive fuel,114.4
3749,4/1/2012,WZ08-4741,"Retail sale of computers	peripheral units	software",88.4
3750,4/1/2012,WZ08-478,Retail sale via stalls and markets,97.8
3751,4/1/2012,WZ08-4719-01,Retail sale of non-food (incl. markets of food),90.8
3752,4/1/2012,WZ08-47112,Other retail sale in non-spec.stores with food etc,101.3
3753,4/1/2012,WZ08-4763,Retail sale of music and video recordings,95.8
3754,4/1/2012,WZ08-4789,Retail sale via stalls and markets of other goods,95.8
3755,4/1/2012,WZ08-4751,Retail sale of textiles,95.9
3756,4/1/2012,WZ08-47721,Retail sale of footwear,103
3757,4/1/2012,WZ08-47799,Retail sale of other second-hand goods in stores,156.4
3758,4/1/2012,WZ08-47789,Other retail sale of new goods,141.5
3759,4/1/2012,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,99
3760,4/1/2012,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",90.4
3761,4/1/2012,WZ08-4771,Retail sale of clothing,97.1
3762,4/1/2012,WZ08-4773-01,"Dispensing chemist	retail sale of medic. goods etc",84.2
3763,4/1/2012,WZ08-4722,Retail sale of meat and meat products,101.6
3764,4/1/2012,WZ08-4742,Retail sale of telecommunications equipment,83.2
3765,4/1/2012,WZ08-45-01,Motor trade and retail trade,90
3766,4/1/2012,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",97.9
3767,4/1/2012,WZ08-4726,Retail sale of tobacco products,91.2
3768,4/1/2012,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",94.9
3769,4/1/2012,WZ08-47999,Other retail sale not in stores n.e.c.,97.8
3770,4/1/2012,WZ08-4777,Retail sale of watches and jewellery,104.5
3771,4/1/2012,WZ08-47592,Retail sale of china and glassware,96.8
3772,4/1/2012,WZ08-4719-02,Retail sale of non-food,91.7
3773,4/1/2012,WZ08-4743-01,"Retail sale of furnishings	 household equip. etc.",100.6
3774,4/1/2012,WZ08-4730,Retail sale of automotive fuel,109.7
3775,4/1/2012,WZ08-4773,Dispensing chemist,84.4
3776,4/1/2012,WZ08-4719,Other retail sale in non-specialised stores,98.5
3777,4/1/2012,WZ08-474,Retail sale of information a. communication equip.,92.7
3778,4/1/2012,WZ08-473,Retail sale of automotive fuel,109.7
3779,4/1/2012,WZ08-477,Retail sale of other goods,93.3
3780,4/1/2012,WZ08-47591,Retail sale of furniture,91.9
3781,4/1/2012,WZ08-4759,"Retail sale of furniture	 lighting equipment etc.",91.9
3782,4/1/2012,WZ08-4753,"Retail sale of carpets	 rugs	 wall a. floor cover.",93.8
3783,4/1/2012,WZ08-4724,"Retail sale of bread	cakes	flour a. sugar confect.",104.5
3784,4/1/2012,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",125.4
3785,4/1/2012,WZ08-4754,Retail sale of electrical household appliances,92.3
3786,4/1/2012,WZ08-4799,"Other retail sale not in stores	 stalls or markets",108.8
3787,4/1/2012,WZ08-475,Retail sale of other household equipment,101.4
3788,4/1/2012,WZ08-4741-01,Retail sale of books and stationery,101
3789,4/1/2012,WZ08-4765,Retail sale of games and toys,98.8
3790,4/1/2012,WZ08-47791,Retail sale of antiques and antique rugs in stores,179.2
3791,4/1/2012,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",90.7
3792,4/1/2012,WZ08-47599,Retail sale of household articles n.e.c.,97.7
3793,4/1/2012,WZ08-471-04,"Retail trade	 except retail sale of fuels",90.5
3794,4/1/2012,WZ08-4723,"Retail sale of fish	 crustaceans and molluscs",110.5
3795,4/1/2012,WZ08-4791,Retail sale via mail order houses or via Internet,59.4
3796,4/1/2012,WZ08-4779,Retail sale of second-hand goods in stores,162.3
3797,4/1/2012,WZ08-4711-02,Retail sale of food,90.7
3798,4/1/2012,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",98.3
3799,4/1/2012,WZ08-479,"Retail trade not in stores	 stalls or markets",67.7
3800,5/1/2012,WZ08-47722,Retail sale of leather goods and luggage,88.1
3801,5/1/2012,WZ08-47302,Retail sale of private-brand automotive fuel,116.6
3802,5/1/2012,WZ08-4725,Retail sale of beverages,104.6
3803,5/1/2012,WZ08-4761,Retail sale of books,78.9
3804,5/1/2012,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",93.7
3805,5/1/2012,WZ08-47641,"Retail sale of bicycles	 their parts and access.",122.5
3806,5/1/2012,WZ08-4791,Retail sale via mail order houses or via Internet,64.1
3807,5/1/2012,WZ08-4762,Retail sale of newspapers and stationery,94.4
3808,5/1/2012,WZ08-476,Retail sale of cultural and recreation goods,93.3
3809,5/1/2012,WZ08-4711-02,Retail sale of food,93.7
3810,5/1/2012,WZ08-47781,Activities of opticians,88.2
3811,5/1/2012,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",98.9
3812,5/1/2012,WZ08-4752,"Retail sale of hardware	 paints and glass",125.8
3813,5/1/2012,WZ08-47112,Other retail sale in non-spec.stores with food etc,101.6
3814,5/1/2012,WZ08-4721,Retail sale of fruit and vegetables,117.8
3815,5/1/2012,WZ08-4764,Retail sale of sporting equipment,102.5
3816,5/1/2012,WZ08-4799,"Other retail sale not in stores	 stalls or markets",119.2
3817,5/1/2012,WZ08-47599,Retail sale of household articles n.e.c.,93.5
3818,5/1/2012,WZ08-471-02,Retail trade in the traditional sense,91.4
3819,5/1/2012,WZ08-4722,Retail sale of meat and meat products,101.5
3820,5/1/2012,WZ08-47721,Retail sale of footwear,102.2
3821,5/1/2012,WZ08-4719-02,Retail sale of non-food,93.9
3822,5/1/2012,WZ08-4775,Retail sale of cosmetic and toilet articles,90.6
3823,5/1/2012,WZ08-4765,Retail sale of games and toys,78.1
3824,5/1/2012,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",107.7
3825,5/1/2012,WZ08-4779,Retail sale of second-hand goods in stores,175.7
3826,5/1/2012,WZ08-4741-01,Retail sale of books and stationery,105
3827,5/1/2012,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",144.1
3828,5/1/2012,WZ08-47191,Retail sale in non-specialised stores (ex. food),93.1
3829,5/1/2012,WZ08-47919,Other retail sale v. mail order houses or Internet,60.5
3830,5/1/2012,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",75.1
3831,5/1/2012,WZ08-47792,Retail sale in second-hand bookstores in stores,262.4
3832,5/1/2012,WZ08-47991,Retail sale of fuels from stock,124.5
3833,5/1/2012,WZ08-4753,"Retail sale of carpets	 rugs	 wall a. floor cover.",90.4
3834,5/1/2012,WZ08-47593,Retail sale of musical instruments and scores,78.3
3835,5/1/2012,WZ08-4743,Retail sale of audio and video equipment,91.2
3836,5/1/2012,WZ08-4773,Dispensing chemist,86.1
3837,5/1/2012,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,104
3838,5/1/2012,WZ08-47521,Retail sale of hardware and plastic products,116.5
3839,5/1/2012,WZ08-479,"Retail trade not in stores	 stalls or markets",73.2
3840,5/1/2012,WZ08-4743-01,"Retail sale of furnishings	 household equip. etc.",100.3
3841,5/1/2012,WZ08-475,Retail sale of other household equipment,101.9
3842,5/1/2012,WZ08-4774,Retail sale of medical and orthopaedic goods,81.5
3843,5/1/2012,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",93.2
3844,5/1/2012,WZ08-47301,Retail sale on behalf of others of automotive fuel,112.3
3845,5/1/2012,WZ08-47592,Retail sale of china and glassware,103.8
3846,5/1/2012,WZ08-471-04,"Retail trade	 except retail sale of fuels",92.9
3847,5/1/2012,WZ08-4773-01,"Dispensing chemist	retail sale of medic. goods etc",86.6
3848,5/1/2012,WZ08-4726,Retail sale of tobacco products,97.8
3849,5/1/2012,WZ08-4789,Retail sale via stalls and markets of other goods,108.2
3850,5/1/2012,WZ08-47622,"Retail sale of stationery	school a.office supplies",90.7
3851,5/1/2012,WZ08-47591,Retail sale of furniture,87
3852,5/1/2012,WZ08-47999,Other retail sale not in stores n.e.c.,105.7
3853,5/1/2012,WZ08-47789,Other retail sale of new goods,144.3
3854,5/1/2012,WZ08-4724,"Retail sale of bread	cakes	flour a. sugar confect.",104.2
3855,5/1/2012,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",96.7
3856,5/1/2012,WZ08-4742,Retail sale of telecommunications equipment,88
3857,5/1/2012,WZ08-47762,"Retail sale of live animals	 animal food etc.",96.9
3858,5/1/2012,WZ08-47791,Retail sale of antiques and antique rugs in stores,200.9
3859,5/1/2012,WZ08-474,Retail sale of information a. communication equip.,90.2
3860,5/1/2012,WZ08-47523,"Retail sale of paints	varnishes	building material",126.9
3861,5/1/2012,WZ08-4711,Retail sale in non-spec. stores with food etc.,92.8
3862,5/1/2012,WZ08-4763,Retail sale of music and video recordings,101.3
3863,5/1/2012,WZ08-471,Retail sale in non-specialised stores,93.5
3864,5/1/2012,WZ08-47111,"Retail sale of food	bev.	tob. in non-spec. stores",91.1
3865,5/1/2012,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",99.8
3866,5/1/2012,WZ08-4719-01,Retail sale of non-food (incl. markets of food),92.9
3867,5/1/2012,WZ08-4778,Other retail sale of new goods,105.6
3868,5/1/2012,WZ08-4723,"Retail sale of fish	 crustaceans and molluscs",109.1
3869,5/1/2012,WZ08-472,"Retail sale of food	 beverages and tobacco",102.6
3870,5/1/2012,WZ08-4741,"Retail sale of computers	peripheral units	software",87.1
3871,5/1/2012,WZ08-4772,Retail sale of footwear and leather goods,101
3872,5/1/2012,WZ08-47799,Retail sale of other second-hand goods in stores,155.1
3873,5/1/2012,WZ08-4729,Other retail sale of food,90.1
3874,5/1/2012,WZ08-4752-01,"Retail sale of furniture	furnishings	hh.equip.etc.",102.3
3875,5/1/2012,WZ08-4751,Retail sale of textiles,97.8
3876,5/1/2012,WZ08-4771,Retail sale of clothing,95.2
3877,5/1/2012,WZ08-471-03,Retail trade in its more narrow definition,93.5
3878,5/1/2012,WZ08-471-01,Retail trade in-store,96
3879,5/1/2012,WZ08-47761,"Retail sale of flowers	 plants	 seeds	 fertilisers",191
3880,5/1/2012,WZ08-4776,"Retail sale of flowers	plants	seeds	fertil.	anim.",157.6
3881,5/1/2012,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",96.6
3882,5/1/2012,WZ08-4777,Retail sale of watches and jewellery,109.6
3883,5/1/2012,WZ08-4730,Retail sale of automotive fuel,114.3
3884,5/1/2012,WZ08-4759,"Retail sale of furniture	 lighting equipment etc.",87.5
3885,5/1/2012,WZ08-478,Retail sale via stalls and markets,107.4
3886,5/1/2012,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",94.5
3887,5/1/2012,WZ08-4782,"Retail sale v.stalls	markets of text.	cloth.	foot.",102.5
3888,5/1/2012,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),88.1
3889,5/1/2012,WZ08-47,"Retail trade	 except motor vehicles a. motorcycles",93.9
3890,5/1/2012,WZ08-4719,Other retail sale in non-specialised stores,101.9
3891,5/1/2012,WZ08-4754,Retail sale of electrical household appliances,96
3892,5/1/2012,WZ08-477,Retail sale of other goods,96
3893,5/1/2012,WZ08-473,Retail sale of automotive fuel,114.3
3894,5/1/2012,WZ08-45-01,Motor trade and retail trade,92.1
3895,6/1/2012,WZ08-47799,Retail sale of other second-hand goods in stores,158
3896,6/1/2012,WZ08-47112,Other retail sale in non-spec.stores with food etc,102.3
3897,6/1/2012,WZ08-4711-01,"Retail sale of food	 except retail sale via stalls",94.1
3898,6/1/2012,WZ08-47789,Other retail sale of new goods,172.8
3899,6/1/2012,WZ08-47722,Retail sale of leather goods and luggage,90.8
3900,6/1/2012,WZ08-4762,Retail sale of newspapers and stationery,99.7
3901,6/1/2012,WZ08-4752,"Retail sale of hardware	 paints and glass",116.3
3902,6/1/2012,WZ08-473,Retail sale of automotive fuel,110.7
3903,6/1/2012,WZ08-47621,"Retail sale of newspapers	 journals	 periodicals",102.7
3904,6/1/2012,WZ08-4711-02,Retail sale of food,94.1
3905,6/1/2012,WZ08-47762,"Retail sale of live animals	 animal food etc.",92.1
3906,6/1/2012,WZ08-4730,Retail sale of automotive fuel,110.7
3907,6/1/2012,WZ08-4754,Retail sale of electrical household appliances,95.5
3908,6/1/2012,WZ08-47301,Retail sale on behalf of others of automotive fuel,107.8
3909,6/1/2012,WZ08-4719,Other retail sale in non-specialised stores,100.3
3910,6/1/2012,WZ08-474-01,"Retail sale of furniture	 HiFi and IT",99.6
3911,6/1/2012,WZ08-4778,Other retail sale of new goods,116.7
3912,6/1/2012,WZ08-47781,Activities of opticians,90
3913,6/1/2012,WZ08-4774,Retail sale of medical and orthopaedic goods,83
3914,6/1/2012,WZ08-47641,"Retail sale of bicycles	 their parts and access.",114.6
3915,6/1/2012,WZ08-4723,"Retail sale of fish	 crustaceans and molluscs",114.1
3916,6/1/2012,WZ08-47783,"Retail sale of art	pictures	craftwork	stamps etc.",106.4
3917,6/1/2012,WZ08-45-01,Motor trade and retail trade,91.7
3918,6/1/2012,WZ08-471-02,Retail trade in the traditional sense,90.6
3919,6/1/2012,WZ08-477,Retail sale of other goods,93.2
3920,6/1/2012,WZ08-4777,Retail sale of watches and jewellery,115.4
3921,6/1/2012,WZ08-4781,"Retail sale via stalls	 markets of food	bev.	tob.",108
3922,6/1/2012,WZ08-4771,Retail sale of clothing,92.1
3923,6/1/2012,WZ08-4779,Retail sale of second-hand goods in stores,157
3924,6/1/2012,WZ08-4751,Retail sale of textiles,99.4
3925,6/1/2012,WZ08-4772,Retail sale of footwear and leather goods,91.8
3926,6/1/2012,WZ08-4765,Retail sale of games and toys,82.6
3927,6/1/2012,WZ08-4752-01,"Retail sale of furniture	furnishings	hh.equip.etc.",99.4
3928,6/1/2012,WZ08-47911,"Retail sale of textiles etc. v.mail order	Internet",68.1
3929,6/1/2012,WZ08-471-01,Retail trade in-store,95.5
3930,6/1/2012,WZ08-4721,Retail sale of fruit and vegetables,116
3931,6/1/2012,WZ08-4773,Dispensing chemist,84.3
3932,6/1/2012,WZ08-47593,Retail sale of musical instruments and scores,78
3933,6/1/2012,WZ08-47192,Retail sale in non-spec.stores with non-food pred.,101.6
3934,6/1/2012,WZ08-47591,Retail sale of furniture,88.5
3935,6/1/2012,WZ08-4751-01,"Retail sale of textiles	 clothing and footwear",92.3
3936,6/1/2012,WZ08-4742,Retail sale of telecommunications equipment,89.7
3937,6/1/2012,WZ08-47999,Other retail sale not in stores n.e.c.,104.1
3938,6/1/2012,WZ08-474,Retail sale of information a. communication equip.,100.7
3939,6/1/2012,WZ08-471,Retail sale in non-specialised stores,93.7
3940,6/1/2012,WZ08-47302,Retail sale of private-brand automotive fuel,114
3941,6/1/2012,WZ08-4753,"Retail sale of carpets	 rugs	 wall a. floor cover.",90.4
3942,6/1/2012,WZ08-47111,"Retail sale of food	bev.	tob. in non-spec. stores",91.6
3943,6/1/2012,WZ08-4789,Retail sale via stalls and markets of other goods,87.4
3944,6/1/2012,WZ08-4791,Retail sale via mail order houses or via Internet,60.8
3945,6/1/2012,WZ08-476,Retail sale of cultural and recreation goods,95.2
3946,6/1/2012,WZ08-47592,Retail sale of china and glassware,96.6
3947,6/1/2012,WZ08-475,Retail sale of other household equipment,99.1
3948,6/1/2012,WZ08-471-04,"Retail trade	 except retail sale of fuels",92.2
3949,6/1/2012,WZ08-4743,Retail sale of audio and video equipment,105.2
3950,6/1/2012,WZ08-4761,Retail sale of books,83.8
3951,6/1/2012,WZ08-47521,Retail sale of hardware and plastic products,113.8
3952,6/1/2012,WZ08-478,Retail sale via stalls and markets,107
3953,6/1/2012,WZ08-4751-02,"Retail sale of textiles	clothing	footwear	leather",92.3
3954,6/1/2012,WZ08-47642,Retail sale of sports a. camping goods (ex. camp.),91.4
3955,6/1/2012,WZ08-47-02,"Retail trade	 except motor trade and sale of fuel",93
3956,6/1/2012,WZ08-4782,"Retail sale v.stalls	markets of text.	cloth.	foot.",105.6
3957,6/1/2012,WZ08-47191,Retail sale in non-specialised stores (ex. food),94.8
3958,6/1/2012,WZ08-4759,"Retail sale of furniture	 lighting equipment etc.",88.4
3959,6/1/2012,WZ08-4763,Retail sale of music and video recordings,110.1
3960,6/1/2012,WZ08-47523,"Retail sale of paints	varnishes	building material",116.5
3961,6/1/2012,WZ08-47782,"Retail sale of photographic	 optical equip. etc.",150.2
3962,6/1/2012,WZ08-4722,Retail sale of meat and meat products,103.3
